qid,label,osm_type,osm_id,website,description,opening_hours,opening_hours:note,source:opening_hours
Q135051272,Vandringsskylt SAT Utö,node,12759116768,https://stockholmarchipelagotrail.com/section/uto,,,,
Q135052427,Vandringsskylt SAT Utö,node,12880343679,https://stockholmarchipelagotrail.com/section/uto/,,,,
Q135052516,Vandringsskylt SAT Utö,node,12830388834,https://stockholmarchipelagotrail.com/section/uto/,,,,
Q135053596,Vandringsskylt SAT Ornö,node,12759074801,https://stockholmarchipelagotrail.com/section/section-orno,,,,
Q135054141,Vandringsskylt SAT Ornö,node,12759068968,https://stockholmarchipelagotrail.com/section/section-orno,,,,
Q135054293,Vandringsskylt SAT Ornö,node,12759068092,https://stockholmarchipelagotrail.com/section/section-orno,,,,
Q135054522,Vandringsskylt SAT Ornö,node,12759068970,https://stockholmarchipelagotrail.com/section/section-orno,,,,
Q135055618,Vandringsskylt SAT Ornö,node,12759062051,https://stockholmarchipelagotrail.com/section/section-orno,,,,
Q135056610,Vandringsskylt SAT Runmarö,node,12759045298,https://stockholmarchipelagotrail.com/section/section-runmaro,,,,
Q135057039,Vandringsskylt SAT Runmarö,node,12759112391,https://stockholmarchipelagotrail.com/section/section-runmaro/,,,,
Q135057751,Vandringsskylt SAT Grinda,node,12758924280,https://stockholmarchipelagotrail.com/section/section-grinda/,,,,
Q135057972,Vandringsskylt SAT Grinda,node,863394962,https://stockholmarchipelagotrail.com/section/section-grinda/,,,,
Q135060190,Vandringsskylt SAT Svartsö,node,12837723036,https://stockholmarchipelagotrail.com/section/section-svartso/,,,,
Q135060467,Vandringsskylt SAT Svartsö,node,12837652979,https://stockholmarchipelagotrail.com/section/section-svartso/,,,,
Q135060878,Vandringsskylt SAT Svartsö,node,12838059988,https://stockholmarchipelagotrail.com/section/section-svartso/,,,,
Q135061041,Vandringsskylt SAT Svartsö,node,12838059989,https://stockholmarchipelagotrail.com/section/section-svartso/,,,,
Q135061205,Vandringsskylt SAT Svartsö,node,12838486713,https://stockholmarchipelagotrail.com/section/section-svartso/,,,,
Q135062583,Vandringsskylt SAT Ingmarsö,node,6730659174,https://stockholmarchipelagotrail.com/section/section-ingmarso/,,,,
Q135063085,Vandringsskylt SAT Ingmarsö,node,12758854059,https://stockholmarchipelagotrail.com/section/section-ingmarso/,,,,
Q135063320,Vandringsskylt SAT Ingmarsö,node,12758913300,https://stockholmarchipelagotrail.com/section/section-ingmarso/,,,,
Q135063491,Vandringsskylt SAT Ingmarsö,node,12758929382,https://stockholmarchipelagotrail.com/section/section-ingmarso/,,,,
Q135063516,Vandringsskylt SAT Finnhamn,node,12771834467,https://stockholmarchipelagotrail.com/section/section-finnhamn,,,,
Q135064468,Vandringsskylt SAT Finnhamn,node,12838600542,https://stockholmarchipelagotrail.com/section/section-finnhamn,,,,
Q135064544,Vandringsskylt SAT Lidö,node,12758859016,https://stockholmarchipelagotrail.com/section/section-lido,,,,
Q135065022,Vandringsskylt SAT Lidö,node,12759055196,https://stockholmarchipelagotrail.com/section/section-lido,,,,
Q135065340,Vandringsskylt SAT Arholma,node,12758914941,https://stockholmarchipelagotrail.com/section/sat-arholma/,,,,
Q135085367,Rånö stugbyn dricksvattenpump,node,12722707517,,Handdriven vattenpump,,,
Q135086883,Vandringsskylt SAT Nämdö,node,12951960993,https://stockholmarchipelagotrail.com/section/section-namdo/,,,,
Q135087121,Vandringsskylt SAT Ornö,node,12951972175,https://stockholmarchipelagotrail.com/section/section-orno,,,,
Q135087297,Vandringsskylt SAT Ornö,node,12952012604,https://stockholmarchipelagotrail.com/section/section-orno,,,,
Q135103433,Ornö badplats Kyrkviken,node,12956347396,https://www.naturkartan.se/en/stockholms-lan/badplats-bp3,,,,
Q135107242,Svartsö Lanthandel  cykeluthyrning,node,12958498621,https://svartsolanthandel.se/cykeluthyrning,Cykeluthyrning på Svartsö vid lanthandeln. Uthyrning av vanliga cyklar och elcyklar. Kontakta butiken för bokning.,by_appointment,,https://svartsolanthandel.se/cykeluthyrning
Q135107753,Svartsö bryggcafe,node,4319184675,https://www.svartsolanthandel.se/,,May-Sep,,
Q135110110,Möja bageri,node,13157558827,https://mojavardshus.se/,,,,
Q135117359,Cykeluthyrning Tempo Runmarö,node,12962274334,https://www.runmarolanthandel.se/cyklar,,,,
Q135218755,Bastu på Nämdö,way,504184973,https://www.explorearchipelago.com/sv/sthlm/mellersta-skargarden/namdo/skargardsstiftelsens-bastu-pa-namdo,swish 1235686811,,,
Q135266166,Fältspatsgruva,way,1413799336,https://app.raa.se/open/fornsok/lamning/6ad14a02-97d5-4f42-98fd-b8bd11f6f265,,,,
Q135336466,Finnhamn gästhamn grillplats,node,13061778916,https://grillplatser.nu/Grillplats/Visa/Finnhamn-Vandrarhemsviken,,,,
Q135399764,Sliphuset Finnhamn,way,222762708,https://finnhamn.se/fest/,,,,
Q2301512,Utö naturreservat,relation,1463748,https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/uto.html,,,,
Q10605047,Nämdö naturreservat,relation,1463777,https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/namdo.html,,,,
Q10711622,Utö skjutfält,relation,10694833,https://www.forsvarsmakten.se/sv/aktuellt/viktiga-meddelanden/skjutfalt-och-avlysningar/,,,,
Q15695240,Bygdemuseet Ornö sockenstuga,way,227701074,,,Jun 1-30 Sa 12:00-15:00; Jul 1-Aug 9 Tu-Su 12:00-16:00; Mo off; Aug 10-31 Sa 12:00-15:00,,
Q18291743,Lidö värdshus,way,455176637,https://lidovardshus.com,,,,
Q30164971,Ålö-Rånö naturreservat,relation,1463767,https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/alo-rano.html,"Föreskrifter\n
I reservatet är det förbjudet att:\n
\n1. medföra hund som inte är kopplad
\n1. elda annat än på anvisad plats
\n1. tälta mer än två dygn i följd, annat än på anvisad plats
\n\nse vidare Länsstyrelsens regler",,,
Q30165452,Arholma-Idö naturreservat,relation,1463750,https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/arholma-ido.html,,,,
Q30167695,Grinda naturreservat,relation,1463789,https://www.lansstyrelsen.se/stockholm/besoksmal/naturreservat/grinda.html,,,,
Q63345339,Drottninggrottan,node,3297305397,,,24/7,,
Q106678630,Jerkers uddes badplats,node,12905547872,https://www.naturkartan.se/sv/stockholms-lan/runmaro-badplats-jerkers-udde,,,,
Q135423081,Östanviks gårdsbutik,node,1315261774,https://xn--nmdskrgrden-l8aeq3w.se/utbud-aktiviteter/ostanviks-gard-gardsbutik,,,,
Q135423626,Solberga gårdsbutik,node,13013411958,https://www.solbergagard.nu/butik.htm,,,,
Q135428282,Sandhamn Missionshuset Bed & Breakfast,node,13014966006,https://sandhamns-vardshus.se/boende,,,,
Q135475767,Sands Hotell,way,329728726,https://sandshotell.se/,,,,
Q135883737,Grillplats Nordvästra Nåttarö vid Naturhamnen,node,13076091033,https://grillplatser.nu/Grillplats/Visa/Nordvastra-Nattaro-vid-Naturhamnen,,,,
Q135900081,Vandringsskylt SAT Arholma,node,13077798237,https://stockholmarchipelagotrail.com/section/sat-arholma/,,,,
Q135900415,Ahlmansvikens gästhamn,way,471412287,https://www.explorearchipelago.com/sv/sthlm/norra-skargarden/arholma/arholma-ahlmansviken-2,,,,
Q135900640,Vandringsskylt SAT Arholma,node,13077967040,https://stockholmarchipelagotrail.com/section/sat-arholma/,,,,
Q135901115,Vandringsskylt SAT Arholma,node,13078172838,https://stockholmarchipelagotrail.com/section/sat-arholma/,,,,
Q135917318,Ragnars kiosk kajaker,node,12864797308,https://finnhamn.se/aktiviteter/,,Jun-Aug 08:30-21:00,,
Q135969918,"Grillplats 2 vid badstrand, Grinda",node,13097085019,https://grillplatser.nu/Grillplats/Visa/Badstrand-Grinda,,,,
Q135972925,Källvikens bastu,way,1392291391,https://www.bastuplatsen.se/bastur/blog-post-title-four-s6gm7-cepa2,,,,
Q135973655,Vandringsskylt SAT Grinda,node,13097861489,https://stockholmarchipelagotrail.com/section/section-grinda/,,,,
Q136036748,Grillplats Grinda stugbyn,node,13096084423,https://grillplatser.nu/Grillplats/Visa/SAT-Grinda-grillplats-stugbyn-2,,,,
Q136087206,"Bistro bryggan, grillplats",node,13063609062,https://grillplatser.nu/Karta/Sagens-brygga,,,,
Q136193620,Finnhamns bastu,way,1305192609,https://finnhamn.se/butik/boka-bastu/,,Mo-Su 15:00-22:00,,
Q136214817,Vandringsskylt SAT Arholma,node,13135735705,https://stockholmarchipelagotrail.com/section/sat-arholma/,,,,
Q136298469,Grinda grillplats Klubbudden 2,node,13144859129,https://grillplatser.nu/Grillplats/Visa/Klubbudden-Grinda,,,,
Q136337568,"Saltvik grillplats, Möja",node,13157567395,https://grillplatser.nu/Grillplats/Visa/Sodra-Moja,,,,
Q136337707,Möja Turistförening,node,2349013040,,Turistbyrå,,,
Q136342609,Pentaboden,node,13159224340,https://sandhamns-vardshus.se/menyerpentaboden,,,,
Q136356030,Vandringsskylt SAT Möja,node,13164722417,https://stockholmarchipelagotrail.com/section/section-moja/,,,,
Q136363283,Södra Storsand Ålö grillplats,node,12738887791,https://grillplatser.nu/Grillplats/Visa/Sodra-Storsand-Alo,,,,
Q136374336,Skarsand norra grillplats,node,13037363260,https://grillplatser.nu/Grillplats/Visa/Skarsand-norra,,,,
Q136374419,Skarsand enkel grillplats,node,13037391403,https://grillplatser.nu/Grillplats/Visa/Skarsand-enkel-grillplats,,,,
Q136390034,Vandringsskylt SAT Rånö,node,13176571935,https://stockholmarchipelagotrail.com/section/section-rano,,,,
Q136390863,Vandringsskylt SAT Rånö,node,13176615482,https://stockholmarchipelagotrail.com/section/section-rano,,,,
Q136391100,Vandringsskylt SAT Ingmarsö,node,13176634777,https://stockholmarchipelagotrail.com/section/section-ingmarso/,,,,
Q136433169,Seglarbaren,node,5005120551,https://www.utovardshus.se/restaurang/seglarbaren/,,opening_hours=Jun 21-Aug 10 12:00+,,
